title,date_added,release_year,rating,duration,listed_in,Service,ContentType,Thriller,Cooking & Food,Music,Mystery,Sports,Black Stories,Latino,Superhero,Survival,Fantasy,Movies,Medical,Variety,Police/Cop,Western,Series,Suspense,Special Interest,Entertainment,TV Shows,TV Mysteries,Independent Movies,Thrillers,TV Thrillers,TV Sci-Fi & Fantasy,Sports Movies,Animate,sitcom,international,history,romance,news,health,classic,reality,comedy,drama,crime,horror,Science,Under18,Docs,lifestyle,ArtAndMusic,GameShow
Barça Dreams,"September 1, 2018",2015,TV-MA,122 min,"Documentaries, International Movies, Sports Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Barah Aana,"December 31, 2019",2009,TV-14,95 min,"Dramas, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Barbecue,"August 15, 2017",2017,TV-MA,101 min,"Documentaries, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Barbie & Her Sisters in a Pony Tale,"October 1, 2017",2013,TV-Y,74 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie in A Mermaid Tale,"October 1, 2017",2010,TV-Y,74 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie in Princess Power,"October 1, 2017",2015,TV-Y,74 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie in Rock 'N Royals,"October 1, 2017",2015,TV-Y,83 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie Star Light Adventure,"October 1, 2017",2016,TV-Y,79 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie: A Fairy Secret,"October 1, 2017",2010,TV-Y7,72 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie: Princess Charm School,"October 1, 2017",2011,TV-Y,80 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie: Spy Squad,"October 1, 2017",2016,TV-Y,75 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie: The Princess & the Popstar,"October 1, 2017",2012,TV-Y,75 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbie: Video Game Hero,"October 1, 2017",2017,TV-Y,72 min,Children & Family Movies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barely Lethal,"July 26, 2018",2015,PG-13,99 min,"Action & Adventure, Comedies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barrio Universitario,"August 19, 2018",2013,TV-14,91 min,"Comedies, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barsaat,"April 1, 2018",1995,TV-PG,166 min,"Action & Adventure, International Movies, Music & Musicals",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BASEketball,"November 1, 2018",1998,R,103 min,"Comedies, Sports Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
